,Country,Model,Price,Km,Year,Power_Hd,Fuel,Gearbox,CO2,Consumption
71,DE,BMW X5,16950.0,198000 ,2014,313 hp,Diesel,Automatic,148 ,5.6 
72,DE,BMW X5,18989.0,216584 ,2014,313 hp,Diesel,Automatic,183 ,6.9 
73,DE,BMW X5,22990.0,209000 ,,313 hp,,,,
74,DE,BMW X5,22999.0,123640 ,2016,245 hp,Diesel,Automatic,156 ,5.9 
75,DE,BMW X5,23900.0,193001 ,2013,340 hp,Diesel,Automatic,195 ,7.4 
76,DE,BMW X5,24900.0,182350 ,2014,313 hp,Gasoline,Automatic,224 ,9.6 
77,DE,BMW X5,27990.0,117600 ,2015,265 hp,Diesel,Automatic,183 ,7 
78,DE,BMW X5,28500.0,153720 ,2018,723 hp,Diesel,Automatic,183 ,6.9 
79,DE,BMW X5,31850.0,185000 ,2018,184 hp,Diesel,Automatic,183 ,6.9 
80,,,,,2018,184 hp,Diesel,Automatic,183 ,6.9 
81,DE,BMW X5,35790.0,139001 ,2018,184 hp,Diesel,Automatic,183 ,6.9 
82,DE,BMW X5,36500.0,150000 ,2018,231 hp,Diesel,Automatic,183 ,6.9 
83,DE,BMW X5,38990.0,74860 ,2017,184 hp,Electric/Gasoline,Automatic,77 ,3.3 
84,DE,BMW X5,43900.0,57000 ,2019,184 hp,Gasoline,Automatic,197 ,8.7 
85,DE,BMW X5,44790.0,79721 ,2018,184 hp,Diesel,Automatic,183 ,6.9 
86,DE,BMW X5,45980.0,53701 ,2019,231 hp,Diesel,Automatic,158 ,6 
87,DE,BMW X5,47650.0,98350 ,2021,320 hp,Gasoline,Automatic,296 ,13 
88,DE,BMW X5,49750.0,70650 ,2002,,Diesel,Automatic,233 ,8.7 
89,DE,BMW X5,54490.0,87521 ,2001,,Diesel,Automatic,259 ,9.7 
90,DE,BMW X5,54799.0,39721 ,2003,,Diesel,Automatic,228 ,8.6 
91,DE,BMW X5,54880.0,200000 ,2001,,Gasoline,Automatic,312 ,12.9 
92,DE,BMW X5,58880.0,55711 ,2003,,Diesel,Automatic,228 ,8.6 
93,DE,BMW X5,65690.0,40000 ,,,,,,
94,DE,BMW X5,215000.0,1560 ,2003,,Diesel,Automatic,228 ,8.6 
95,DE,BMW X5,2495.0,350000 ,,,,,,
96,DE,BMW X5,2499.0,398000 ,2001,,Diesel,Automatic,228 ,9.2 
97,DE,BMW X5,2680.0,238052 ,2001,,Gasoline,Automatic,312 ,12.9 
98,DE,BMW X5,2990.0,263000 ,,,,,,
99,DE,BMW X5,2999.0,422000 ,,,,,,
100,,,,,2005,,Gasoline,Automatic,310 ,13.1 
101,DE,BMW X5,3750.0,297773 ,,,,,,
102,,,,,,,,,,
103,DE,BMW X5,4880.0,281026 ,,,,,,
104,DE,BMW X5,4900.0,380000 ,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
107,DE,BMW X5,6899.0,267000 ,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,FR,BMW X5,19500.0,165727 ,2010,407 hp,Gasoline,Automatic,292 ,12.5 
111,FR,BMW X5,22890.0,128650 ,2010,211 hp,Diesel,Automatic,217 ,8.2 
