,Country,Model,Price,Km,Year,Power_Hd,Fuel,Gearbox,CO2,Consumption
0,FR,MINI One,12890.0,106402 ,2018,- hp,Diesel,Manual,- (,- (
1,FR,MINI Cooper,13950.0,106245 ,2014,114 hp,Diesel,Manual,129 ,- (
2,FR,MINI One,14490.0,75153 ,2018,- hp,Gasoline,Manual,- (,- (
3,FR,MINI Cooper,15390.0,57294 ,2015,136 hp,Gasoline,Manual,109 ,4.7 
4,FR,MINI One,15499.0,59273 ,2018,97 hp,Diesel,Manual,97 ,- (
5,FR,MINI One,15990.0,16779 ,2019,- hp,Gasoline,Manual,122 ,- (
6,FR,MINI Cooper,16490.0,29000 ,2016,136 hp,Gasoline,Manual,105 ,- (
7,FR,MINI Cooper,16990.0,24580 ,2016,- hp,Gasoline,Manual,- (,- (
8,FR,MINI One,17490.0,39000 ,2019,95 hp,Diesel,Manual,99 ,3.8 
9,FR,MINI Cooper,17500.0,87798 ,2018,- hp,Diesel,Manual,- (,- (
10,FR,MINI Cooper,17800.0,34500 ,2016,137 hp,Gasoline,Automatic,109 ,- (
11,FR,MINI Cooper,17999.0,72922 ,2015,- hp,Gasoline,Automatic,- (,- (
12,FR,MINI Cooper,18490.0,96451 ,2018,- hp,Gasoline,Automatic,- (,- (
13,FR,MINI Cooper,18499.0,30313 ,2015,114 hp,Diesel,Manual,105 ,- (
14,FR,MINI One,19499.0,47261 ,2017,103 hp,Gasoline,Manual,116 ,- (
15,FR,MINI Cooper,19675.0,97294 ,2016,- hp,Gasoline,Automatic,- (,- (
16,FR,MINI John Cooper Works,19890.0,81435 ,2019,- hp,Gasoline,Manual,- (,- (
17,FR,MINI Cooper,19890.0,64324 ,2017,- hp,Gasoline,Automatic,114 ,- (
18,FR,MINI One,19890.0,39185 ,2018,- hp,Gasoline,Manual,- (,- (
19,FR,MINI Cooper,19990.0,29894 ,2017,- hp,Diesel,Manual,- (,- (
20,FR,MINI Cooper,20399.0,58172 ,2018,- hp,Gasoline,Manual,- (,- (
21,FR,MINI One,20490.0,39921 ,2018,- hp,Gasoline,Automatic,- (,- (
22,FR,MINI Cooper,20499.0,65940 ,2017,194 hp,Gasoline,Manual,139 ,- (
23,FR,MINI Cooper,20990.0,58851 ,2018,- hp,Gasoline,Manual,- (,- (
24,FR,MINI Cooper,20999.0,85095 ,2016,194 hp,Gasoline,Automatic,125 ,- (
25,FR,MINI One,21199.0,22495 ,2019,- hp,Gasoline,Manual,- (,- (
26,FR,MINI One,21999.0,30673 ,2019,- hp,Gasoline,Automatic,- (,- (
27,FR,MINI Cooper,22399.0,31006 ,2018,- hp,Diesel,Manual,- (,- (
28,FR,MINI Cooper,22490.0,55050 ,2019,- hp,Diesel,Automatic,- (,- (
29,FR,MINI Cooper,22900.0,74788 ,2018,- hp,Diesel,Automatic,- (,- (
30,FR,MINI John Cooper Works,22990.0,73944 ,2016,231 hp,Gasoline,Automatic,150 ,6.6 
31,FR,MINI Cooper,22990.0,17000 ,2019,- hp,Gasoline,Automatic,- (,- (
32,FR,MINI John Cooper Works,23690.0,16800 ,2018,102 hp,Gasoline,Manual,145 ,5 
33,FR,MINI Cooper,23890.0,73752 ,2018,- hp,Gasoline,Manual,- (,- (
34,FR,MINI Cooper,23900.0,32400 ,2020,136 hp,Gasoline,Automatic,109 ,4.8 
35,FR,MINI One,23990.0,2427 ,2020,- hp,Gasoline,Manual,- (,- (
36,FR,MINI Cooper,24299.0,14463 ,2019,- hp,Gasoline,Automatic,- (,- (
37,FR,MINI Cooper,24990.0,21362 ,2020,- hp,Gasoline,Automatic,- (,- (
38,FR,MINI One,24999.0,33608 ,2018,118 hp,Diesel,Manual,119 ,- (
39,FR,MINI John Cooper Works,25990.0,81711 ,2018,- hp,Gasoline,Automatic,- (,- (
40,FR,MINI John Cooper Works,26490.0,19061 ,2018,- hp,Gasoline,Manual,- (,- (
41,FR,MINI Cooper,26900.0,89307 ,2018,- hp,Diesel,Automatic,- (,- (
42,FR,MINI Cooper,26990.0,52858 ,2020,- hp,Electric,Automatic,0 ,- (
43,FR,MINI Cooper,27490.0,15700 ,2020,137 hp,Gasoline,Manual,135 ,- (
44,FR,MINI Cooper,27900.0,9900 ,2020,192 hp,Gasoline,Automatic,120 ,5.3 
45,FR,MINI Cooper,27990.0,21220 ,2020,- hp,Electric,Automatic,0 ,- (
46,FR,MINI Cooper,27990.0,25653 ,2019,- hp,Gasoline,Automatic,- (,- (
47,FR,MINI John Cooper Works,28499.0,46908 ,2017,- hp,Gasoline,Automatic,- (,- (
48,FR,MINI Cooper,28990.0,6481 ,2021,- hp,Gasoline,Automatic,- (,- (
49,FR,MINI John Cooper Works,29990.0,52242 ,2017,- hp,Gasoline,Automatic,154 ,- (
50,FR,MINI Cooper,29990.0,13400 ,2021,- hp,Electric,Automatic,0 ,- (
51,FR,MINI John Cooper Works,31499.0,47450 ,2018,234 hp,Gasoline,Automatic,130 ,- (
52,FR,MINI John Cooper Works,31990.0,60096 ,2019,- hp,Gasoline,Automatic,- (,- (
53,FR,MINI Cooper,31999.0,7500 ,2021,186 hp,Electric,Automatic,0 ,- (
54,FR,MINI Cooper,32990.0,10284 ,2021,- hp,Gasoline,Automatic,- (,- (
55,FR,MINI Cooper,33500.0,4000 ,2022,- hp,Electric,Automatic,0 ,- (
56,FR,MINI Cooper,33785.0,9800 ,2021,- hp,Gasoline,Automatic,- (,- (
57,FR,MINI Cooper,34890.0,30271 ,2020,- hp,Diesel,Automatic,- (,- (
58,FR,MINI Cooper,35890.0,9300 ,2021,- hp,Electric,Automatic,0 ,- (
59,FR,MINI Cooper,35900.0,1 ,2022,- hp,Gasoline,Automatic,- (,- (
60,FR,MINI Cooper,35925.0,10 ,2022,- hp,Electric,Automatic,0 ,- (
61,FR,MINI John Cooper Works,35990.0,19880 ,2021,- hp,Gasoline,Automatic,- (,- (
62,FR,MINI One,35990.0,7500 ,2021,- hp,Diesel,Automatic,- (,- (
63,FR,MINI Cooper,36380.0,10000 ,2021,- hp,Gasoline,Automatic,- (,- (
64,FR,MINI John Cooper Works,38499.0,15242 ,2020,234 hp,Gasoline,Automatic,137 ,- (
65,FR,MINI John Cooper Works,39340.0,9800 ,2021,- hp,Gasoline,Automatic,- (,- (
66,FR,MINI Cooper,39745.0,8000 ,2021,- hp,Electric,Automatic,0 ,- (
67,FR,MINI Cooper,42900.0,6000 ,2021,- hp,Electric/Gasoline,Automatic,- (,- (
