,Country,Model,Price,Km,Year,Power_Hd,Fuel,Gearbox,CO2,Consumption
266,IT,MINI Cooper Cabrio,6700.0,143000 ,2005,120 hp,Gasoline,Manual,175 ,7.3 
267,IT,MINI Cooper Clubman,6900.0,119000 ,2009,111 hp,Gasoline,Manual,132 ,5.5 
268,IT,MINI Cooper D,7000.0,173000 ,2011,120 hp,Diesel,Manual,99 ,3.8 
269,IT,MINI Cooper,7700.0,150000 ,2010,95 hp,LPG,Manual,129 ,5.4 
270,IT,MINI One,7900.0,58000 ,2007,111 hp,Gasoline,Manual,128 ,5.3 
271,IT,MINI Cooper D Cabrio,8500.0,99000 ,2011,90 hp,Diesel,Manual,105 ,4 
272,IT,MINI One D,8849.0,105458 ,2013,90 hp,Diesel,Manual,99 ,- (
273,IT,MINI One D,8849.0,105458 ,2013,170 hp,Diesel,Manual,99 ,- (
274,IT,MINI Cooper S,8900.0,89000 ,2005,184 hp,Gasoline,Manual,207 ,8.6 
275,IT,MINI Cooper S,8990.0,150000 ,2010,184 hp,Gasoline,Manual,136 ,9.1 
276,IT,MINI Cooper S Cabrio,9300.0,110000 ,2010,143 hp,Gasoline,Manual,139 ,6 
277,IT,MINI Cooper SD Countryman,9499.0,180000 ,2012,143 hp,Diesel,Automatic,119 ,4.5 
278,IT,MINI Cooper SD,9600.0,128000 ,2011,98 hp,Diesel,Manual,114 ,4.3 
279,IT,MINI One,9890.0,92419 ,2010,143 hp,Gasoline,Manual,127 ,5.4 
280,IT,MINI Cooper SD Countryman,9900.0,181000 ,2011,111 hp,Diesel,Manual,130 ,4.9 
281,IT,MINI Cooper D,9990.0,71000 ,2012,143 hp,Diesel,Automatic,135 ,5.1 
282,,,,,,122 hp,,,,
283,,,,,,111 hp,,,,
284,IT,MINI Cooper SD Paceman,11500.0,176500 ,2014,184 hp,Diesel,Manual,119 ,4.5 
285,IT,MINI Cooper Countryman,11500.0,77630 ,2011,111 hp,Gasoline,Manual,140 ,6 
286,IT,MINI Cooper D Countryman,11800.0,142000 ,2012,122 hp,Diesel,Automatic,149 ,5.6 
287,IT,MINI Cooper S,11900.0,71760 ,2010,143 hp,Gasoline,Manual,- (,- (
288,IT,MINI Cooper D Paceman,11900.0,144000 ,2013,116 hp,Diesel,Automatic,149 ,5.6 
289,IT,MINI Cooper Roadster,11900.0,110754 ,2012,143 hp,Gasoline,Manual,133 ,5.7 
290,IT,MINI Cooper SD Countryman,11900.0,135000 ,2012,111 hp,Diesel,Automatic,130 ,4.9 
